Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
597	try vvb		1520
598	saturday np0		1519
599	possible aj0		1517
600	call vvi		1510
601	gave vvd		1508
602	training nn1		1508
603	usually av0		1497
604	bring vvi		1495
605	open aj0		1489
606	nobody pni		1488
607	thinking vvg		1488
608	interesting aj0		1487
609	city nn1		1482
610	believe vvb		1481
611	areas nn2		1465
612	work nn1-vvb		1461
613	development nn1		1459
614	' pos		1451
615	british aj0		1448
616	happens vvz		1443
617	stop vvi		1436
618	father nn1		1435
619	sunday np0		1434
620	woman nn1		1431
621	david np0		1429
622	staff nn0		1424
623	amount nn1		1423
624	left vvn		1420
625	services nn2		1419
626	told vvn		1410
627	let vvi		1407
628	level nn1		1404
629	difference nn1		1403
630	off prp		1403
631	heard vvn		1401
632	phone nn1		1401
633	until cjs		1399
634	less av0		1394
635	play vvi		1388
636	basically av0		1382
637	write vvi		1381
638	soon av0		1376
639	rest nn1		1373
640	concerned aj0		1370
641	centre nn1		1369
642	supposed aj0		1369
643	page nn1		1368
644	mind nn1		1366
645	trouble nn1		1365
646	w unc		1364
647	london np0		1361
648	third ord		1360
649	letter nn1		1358
650	fire nn1		1357
651	u zz0		1355
652	eighteen crd		1352
653	real aj0		1352
654	clear aj0		1350
655	happen vvi		1350
656	once cjs		1350
657	monday np0		1345
658	interest nn1		1340
659	black aj0		1339
660	programme nn1		1339
661	use vvb		1337
662	child nn1		1336
663	main aj0		1319
664	as cjs-prp		1317
665	market nn1		1317
666	nearly av0		1312
667	around avp		1310
668	call vvb		1309
669	large aj0		1309
670	dog nn1		1307
671	others nn2		1306
672	takes vvz		1305
673	position nn1		1303
674	union nn1		1303
675	lots pni		1302
676	power nn1		1301
677	stage nn1		1299
678	where cjs		1297
679	enough dt0		1294
680	community nn1		1293
681	okay aj0		1292
682	themselves pnx		1283
683	box nn1		1280
684	asked vvd		1278
685	ought vm0		1277
686	special aj0		1276
687	h zz0		1275
688	fair aj0		1271
689	understand vvi		1270
690	sir nn1		1269
691	towards prp		1268
692	tape nn1		1267
693	plan nn1		1264
694	unless cjs		1264
695	bought vvd		1262
696	easy aj0		1261
697	used vvn		1261
698	behind prp		1255
699	knows vvz		1255
700	ask vvb		1247
701	along avp		1245
702	&mdash; pun		1241
703	plus prp		1241
704	white aj0		1241
705	eat vvi		1237
706	f zz0		1237
707	piece nn1		1233
708	short aj0		1232
709	kids nn2		1231
710	hard aj0		1226
711	only av0-aj0		1224
712	hell nn1		1222
713	almost av0		1221
714	authority nn1		1221
715	change vvi		1221
716	schools nn2		1219
717	anyone pni		1216
718	district nn1		1215
719	everyone pni		1214
720	happened vvd		1212
721	ya pnp		1208
722	food nn1		1206
723	read vvi		1205
724	paul np0		1204
725	yep itj		1201
726	education nn1		1194
727	building nn1		1188
728	age nn1		1185
729	looked vvd		1179
730	price nn1		1179
731	social aj0		1178
732	worth prp		1178
733	jobs nn2		1175
734	x zz0		1175
735	front nn1		1172
736	trade nn1		1172
737	other nn1		1171
738	type nn1		1171
739	free aj0		1170
740	fairly av0		1167
741	motion nn1		1165
742	through prp-avp		1165
743	believe vvi		1164
744	till prp		1164
745	traffic nn1		1162
746	giving vvg		1161
747	news nn1		1161
748	half nn1		1160
749	bits nn2		1159
750	cup nn1		1157
751	normally av0		1157
752	actual aj0		1156
753	leave vvb		1155
754	hair nn1		1154
755	&rsquo; puq		1152
756	board nn1		1152
757	game nn1		1152
758	period nn1		1149
759	show vvi		1149
760	extra aj0		1148
761	parents nn2		1147
762	sitting vvg		1144
763	both av0		1143
764	answer nn1		1141
765	quarter nn1		1135
766	red aj0		1133
767	instead av0		1131
768	list nn1		1126
769	pick vvi		1125
770	body nn1		1123
771	got vvn-vvd		1121
772	sit vvi		1121
773	pardon nn1		1120
774	interested aj0		1119
775	evening nn1		1116
776	asking vvg		1115
777	chance nn1		1115
778	church nn1		1114
779	pretty av0		1113
780	wife nn1		1107
781	after cjs		1105
782	class nn1		1103
783	daddy nn1		1099
784	sixteen crd		1099
785	ways nn2		1099
786	fourteen crd		1098
787	clearly av0		1097
788	numbers nn2		1094
789	ready aj0		1093
790	turn vvi		1088
791	&lsquo; puq		1085
792	itself pnx		1084
793	stay vvi		1083
794	labour aj0		1081
795	mind vvi		1077
796	be vbb		1073
797	found vvd		1073
798	friends nn2		1072
799	look vvb-nn1		1071
800	figures nn2		1070
801	budget nn1		1067
802	mind vvb		1066
803	points nn2		1063
804	playing vvg		1059
805	yo unc		1059
806	quid nn0		1058
807	since cjs		1056
808	size nn1		1054
809	form nn1		1053
810	issue nn1		1053
811	thought vvn		1053
812	available aj0		1052
813	v zz0		1052
814	south nn1		1051
815	through avp-prp		1050
816	god nn1		1048
817	various aj0		1044
818	paid vvn		1043
819	poor aj0		1040
820	cost nn1		1039
821	jesus np0		1037
822	management nn1		1037
823	major aj0		1036
824	telling vvg		1035
825	tax nn1		1027
826	wonder vvb		1025
827	councillor nn1		1020
828	doctor nn1		1020
829	quality nn1		1020
830	finished vvn		1019
831	needs vvz		1011
832	've vhi		1010
833	further av0		1008
834	matter vvi		1006
835	simply av0		1005
836	sit vvb		1004
837	yours pnp		1004
838	gives vvz		1003
839	girls nn2		1002
840	street nn1		1002
841	awful aj0		994
842	over avp-prp		994
843	hospital nn1		992
844	bag nn1		991
845	houses nn2		989
846	decision nn1		986
847	hot aj0		986
848	dinner nn1		985
849	floor nn1		984
850	story nn1		984
851	onto prp		981
852	allowed vvn		979
853	card nn1		979
854	state nn1		979
855	live vvi		978
856	start vvb		978
857	thirteen crd		978
858	friend nn1		977
859	wednesday np0		974
860	about avp-prp		973
861	k zz0		972
862	basis nn1		970
863	lady nn1		967
864	up prp-avp		967
865	court nn1		966
866	figure nn1		965
867	hands nn2		964
868	baby nn1		962
869	date nn1		961
870	asked vvn		955
871	need nn1		950
872	weekend nn1		950
873	definitely av0		949
874	right aj0-av0		942
